Country,Region,Population,Area (sq. mi.),Net migration,GDP ($ per capita),Literacy (%)
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087,"-2,06",600,"78,2"
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,0,7400,"92,6"
Togo ,SUB-SAHARAN AFRICA                 ,5548702,56785,0,1500,"60,9"
Tonga ,OCEANIA                            ,114689,748,0,2200,"98,5"
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,5128,"-10,83",9500,"98,6"
Tunisia ,NORTHERN AFRICA                    ,10175014,163610,"-0,57",6900,"74,2"
Turkey ,NEAR EAST                          ,70413958,780580,0,6700,"86,5"
Turkmenistan ,C.W. OF IND. STATES ,5042920,488100,"-0,86",5800,"98,0"
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,430,"11,68",9600,"98,0"
Tuvalu ,OCEANIA                            ,11810,26,0,1100,
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,236040,0,1400,"69,9"
Ukraine ,C.W. OF IND. STATES ,46710816,603700,"-0,39",5400,"99,7"
United Arab Emirates ,NEAR EAST                          ,2602713,82880,"1,03",23200,"77,9"
United Kingdom ,WESTERN EUROPE                     ,60609153,244820,"2,19",27700,"99,0"
United States ,NORTHERN AMERICA                   ,298444215,9631420,"3,41",37800,"97,0"
Uruguay ,LATIN AMER. & CARIB    ,3431932,176220,"-0,32",12800,"98,0"
Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,"-1,72",1700,"99,3"
Vanuatu ,OCEANIA                            ,208869,12200,0,2900,"53,0"
Venezuela ,LATIN AMER. & CARIB    ,25730435,912050,"-0,04",4800,"93,4"
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,329560,"-0,45",2500,"90,3"
Virgin Islands ,LATIN AMER. & CARIB    ,108605,1910,"-8,94",17200,
Wallis and Futuna ,OCEANIA                            ,16025,274,,3700,"50,0"
West Bank ,NEAR EAST                          ,2460492,5860,"2,98",800,
Western Sahara ,NORTHERN AFRICA                    ,273008,266000,,,
Yemen ,NEAR EAST                          ,21456188,527970,0,800,"50,2"
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,752614,0,800,"80,6"
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,390580,0,1900,"90,7"
